aX,aY,aZ,gX,gY,gZ
0.516,0.295,0.929,36.926,-19.958,15.564
0.516,0.312,0.936,42.542,-16.479,19.897
0.516,0.341,0.893,43.762,-10.742,25.146
0.514,0.387,0.795,39.917,-4.822,29.236
0.541,0.427,0.714,28.931,0.183,31.006
0.550,0.461,0.700,13.611,1.465,29.724
0.534,0.485,0.724,2.319,0.671,26.062
0.521,0.477,0.747,0.732,-0.916,21.851
0.531,0.421,0.750,6.409,-2.136,17.822
0.539,0.370,0.754,12.146,-3.967,14.893
0.536,0.350,0.752,16.785,-5.432,14.038
0.530,0.357,0.754,21.851,-7.446,15.137

0.780,0.234,1.712,10.803,-61.707,-20.935
0.742,0.287,1.819,11.536,-58.594,-22.339
0.683,0.328,1.939,10.376,-53.528,-26.123
0.574,0.381,2.072,7.324,-47.363,-33.569
0.394,0.438,2.184,5.920,-40.161,-43.762
0.204,0.396,2.299,11.414,-29.602,-53.894
0.026,0.272,2.434,20.081,-15.198,-62.866
-0.192,0.139,2.584,19.409,1.404,-71.594
-0.464,0.010,2.755,10.376,23.071,-80.383
-0.755,-0.109,2.910,0.244,51.208,-89.111
-1.030,-0.226,2.990,-4.944,84.839,-96.375
-1.244,-0.399,2.953,4.944,121.399,-98.450
-1.411,-0.604,2.752,28.137,158.752,-92.346
-1.518,-0.794,2.447,50.171,193.726,-77.087
-1.578,-0.962,2.152,59.753,221.985,-55.054
-1.625,-1.065,1.908,56.824,241.943,-31.494
-1.668,-1.115,1.670,46.997,255.371,-8.789
-1.688,-1.207,1.434,43.335,267.151,15.442
-1.736,-1.293,1.235,42.847,278.015,43.640
-1.808,-1.307,1.051,43.579,288.452,76.782
-1.860,-1.318,0.868,49.194,301.392,115.112
-1.913,-1.283,0.620,56.824,316.223,156.189
-1.984,-1.133,0.247,59.326,330.078,198.975
-1.998,-0.970,-0.227,62.439,337.891,243.164
-1.912,-0.810,-0.636,60.364,332.520,287.231
-1.821,-0.538,-0.839,44.983,311.401,326.233
-1.789,-0.231,-0.803,36.377,278.076,358.215
-1.791,0.033,-0.613,47.729,243.774,382.690
-1.859,0.259,-0.444,75.012,218.994,403.259
-1.945,0.429,-0.370,104.065,207.092,423.096
-2.034,0.546,-0.342,118.530,204.712,442.871
-2.200,0.785,-0.559,113.037,206.543,462.097
-2.158,1.032,-1.055,90.332,211.609,486.572
-1.916,1.389,-1.334,39.368,210.510,509.155
-1.858,1.841,-1.323,-12.085,188.721,517.883
-1.855,2.160,-1.212,-30.029,151.123,511.963
-1.794,2.335,-1.016,-18.311,111.511,496.826
-1.755,2.418,-0.809,5.432,74.768,475.098
-1.748,2.444,-0.596,32.593,42.603,450.806
-1.754,2.408,-0.428,65.857,16.602,428.101
-1.732,2.474,-0.525,100.830,-2.441,412.354
-1.603,2.579,-0.759,135.010,-16.968,404.663
-1.528,2.744,-0.891,146.484,-39.307,398.010
-1.487,2.936,-0.856,128.784,-72.632,385.132
-1.435,3.122,-0.694,108.093,-106.873,363.281
-1.383,3.294,-0.470,90.942,-132.690,331.116
-1.334,3.390,-0.301,74.707,-148.804,290.710
-1.293,3.453,-0.214,61.340,-157.471,245.544
-1.143,3.548,-0.161,58.655,-165.527,197.388
-1.045,3.633,-0.097,73.730,-177.612,145.264
-1.057,3.648,-0.009,102.234,-194.092,87.524
-1.083,3.582,0.116,124.939,-208.862,24.353
-1.095,3.469,0.263,131.287,-216.797,-41.504
-1.019,3.321,0.467,125.244,-216.125,-108.521
-1.125,2.979,0.562,120.972,-210.815,-168.640
-1.129,2.809,0.770,93.750,-202.820,-226.135
-1.087,2.522,0.931,65.369,-190.369,-273.499
-1.039,2.375,1.075,47.424,-176.270,-309.753
-1.028,2.266,1.219,43.213,-162.109,-342.773
-1.000,2.112,1.301,49.316,-146.729,-375.854
-0.955,1.994,1.306,61.951,-132.568,-409.729
-0.891,1.871,1.236,85.693,-119.690,-442.322
-0.917,1.749,1.176,111.572,-109.558,-473.145
-1.044,1.675,1.105,127.258,-99.792,-504.089
-1.209,1.562,1.083,131.958,-90.576,-537.537
-1.455,1.408,1.127,125.244,-83.557,-574.585
