aX,aY,aZ,gX,gY,gZ
0.634,0.371,0.715,3.052,0.244,4.517
0.637,0.383,0.694,4.395,1.953,1.892
0.635,0.365,0.675,8.972,1.526,-1.526

-0.529,1.083,1.606,-61.279,-289.307,62.500
-0.436,1.170,1.950,-64.026,-268.188,55.298
-0.352,1.267,2.179,-61.340,-236.816,46.204
-0.323,1.370,2.278,-53.162,-200.012,31.738
-0.342,1.412,2.293,-44.617,-161.438,10.559
-0.346,1.380,2.232,-41.260,-125.000,-15.198
-0.344,1.291,2.147,-41.260,-92.346,-42.542
-0.351,1.135,2.099,-37.537,-66.345,-66.589
-0.369,1.009,2.069,-35.400,-45.349,-84.961
-0.379,0.897,2.034,-33.081,-26.245,-96.436
-0.395,0.829,2.001,-31.311,-8.911,-103.088
-0.390,0.783,1.989,-29.785,5.798,-107.666
-0.387,0.769,2.063,-31.189,18.677,-112.488
-0.393,0.741,2.193,-35.034,31.494,-119.202
-0.382,0.642,2.382,-37.231,47.607,-127.502
-0.370,0.534,2.650,-40.833,67.322,-136.108
-0.418,0.466,2.946,-43.152,92.834,-143.372
-0.506,0.393,3.112,-33.997,128.235,-147.522
-0.639,0.400,3.145,-21.973,173.706,-149.719
-0.763,0.359,2.980,-3.723,222.961,-151.978
-0.900,0.268,2.698,12.817,269.409,-154.907
-1.068,0.172,2.403,21.606,310.059,-157.410
-1.138,0.077,2.061,20.569,342.896,-157.532
-1.164,0.001,1.623,23.621,366.394,-155.212
-1.130,0.063,1.063,38.025,379.150,-148.376
-0.986,0.110,0.499,57.739,377.747,-137.146
-0.839,0.114,0.052,67.688,359.131,-128.906
-0.698,0.086,-0.231,62.073,327.576,-127.502
-0.537,0.015,-0.332,48.950,290.588,-128.906
-0.387,-0.110,-0.326,37.903,255.371,-130.005
-0.258,-0.269,-0.298,32.349,226.746,-127.625
-0.125,-0.398,-0.279,30.273,204.834,-118.591
-0.020,-0.442,-0.284,30.029,187.805,-102.356
0.074,-0.458,-0.316,28.625,172.852,-81.665
0.141,-0.428,-0.307,23.376,157.288,-60.608
0.203,-0.317,-0.245,15.259,141.052,-41.504
0.255,-0.111,-0.187,11.475,127.136,-25.940
0.256,0.075,-0.190,18.066,115.723,-15.198
0.295,0.130,-0.245,30.151,104.370,-11.108
0.332,0.150,-0.281,36.255,89.417,-13.916
0.412,0.140,-0.246,30.212,72.388,-19.104
0.483,0.089,-0.156,24.170,56.030,-22.400
0.540,0.028,-0.044,22.034,41.504,-21.729
0.572,0.009,0.070,19.531,30.334,-17.273
0.581,0.039,0.172,19.226,23.804,-9.766
0.573,0.120,0.240,22.583,21.179,-2.441
0.574,0.173,0.269,28.992,20.203,2.258
0.560,0.199,0.274,33.875,18.860,2.930
0.556,0.206,0.267,32.471,16.541,0.671
0.553,0.168,0.254,29.358,12.939,-1.587
0.540,0.117,0.249,23.437,8.484,-2.014
0.563,0.093,0.265,14.526,3.113,-0.427
0.583,0.076,0.309,8.667,-2.563,3.174
0.599,0.103,0.368,6.958,-7.690,8.362
0.606,0.173,0.414,6.958,-12.207,14.343
0.615,0.233,0.428,9.338,-15.442,18.250
0.640,0.323,0.451,11.108,-18.311,18.433
0.625,0.312,0.448,16.052,-21.484,16.113
0.687,0.378,0.487,15.808,-24.414,12.695
0.670,0.339,0.496,26.733,-29.236,7.690
0.660,0.302,0.539,32.837,-33.875,2.869
0.679,0.265,0.589,31.372,-36.011,0.366
0.677,0.234,0.617,30.090,-36.743,0.610
0.667,0.221,0.656,24.414,-36.133,2.869
0.659,0.219,0.701,15.747,-34.790,5.554
0.644,0.223,0.726,7.568,-32.837,7.629
0.646,0.240,0.732,0.610,-29.480,9.338
0.658,0.250,0.747,-4.456,-25.574,10.498
0.658,0.296,0.786,-9.338,-22.583,9.827
0.661,0.280,0.820,-7.629,-19.653,8.057
0.657,0.250,0.828,-3.113,-15.198,5.066
0.653,0.224,0.820,-0.183,-10.254,2.136
0.645,0.215,0.782,3.967,-6.470,0.671
0.646,0.243,0.723,8.606,-4.456,1.221
0.643,0.269,0.678,12.146,-4.395,2.563
0.648,0.266,0.661,12.634,-6.165,2.747
0.653,0.260,0.670,8.484,-8.850,1.404
0.662,0.263,0.693,4.761,-11.292,0.305
0.653,0.258,0.706,5.127,-12.024,0.549
0.655,0.240,0.703,6.958,-11.902,1.282
0.663,0.227,0.697,6.042,-11.597,2.258
0.673,0.250,0.709,4.333,-11.780,3.357
0.670,0.267,0.738,4.700,-11.841,4.761
0.665,0.280,0.761,6.470,-10.986,4.456
0.654,0.287,0.762,6.653,-9.277,2.197
0.644,0.260,0.745,6.287,-7.263,-0.549
0.639,0.239,0.732,2.747,-5.920,-2.319
0.635,0.263,0.735,-1.526,-5.554,-2.441
0.628,0.242,0.732,0.549,-5.371,-0.854
0.625,0.219,0.725,2.197,-5.249,0.488
0.625,0.205,0.728,0.061,-5.615,0.671
0.621,0.194,0.730,-1.221,-5.859,1.160
0.615,0.191,0.712,-1.465,-6.531,2.686
0.604,0.226,0.701,-3.113,-7.690,5.066
0.611,0.297,0.728,-4.517,-9.644,7.080
0.621,0.304,0.759,-0.183,-11.414,7.446
0.634,0.282,0.786,4.456,-12.512,5.188
0.631,0.287,0.831,5.066,-12.146,2.747
0.642,0.276,0.839,5.737,-9.521,1.099
0.635,0.259,0.826,8.545,-6.104,0.427
0.625,0.277,0.802,9.216,-3.296,0.854
0.626,0.296,0.774,9.155,-1.221,1.343
0.608,0.261,0.746,14.099,0.061,0.488
0.608,0.229,0.733,13.123,0.366,-0.854
0.608,0.213,0.738,9.399,0.122,-1.587
0.603,0.190,0.736,8.972,-0.427,-0.793
0.603,0.184,0.722,9.766,-0.732,1.099
0.615,0.186,0.704,8.667,-0.793,3.418
0.623,0.198,0.689,5.737,-1.526,5.676
0.623,0.233,0.688,2.441,-2.869,7.446
0.626,0.287,0.698,0.854,-3.967,9.216
0.635,0.309,0.714,2.441,-4.761,9.583
0.629,0.346,0.725,5.676,-5.310,7.629
0.629,0.345,0.744,6.165,-5.493,4.822
0.627,0.325,0.758,7.141,-5.371,1.038
0.621,0.297,0.765,6.653,-4.944,-1.892
0.610,0.296,0.762,5.554,-4.150,-2.869
0.599,0.294,0.758,7.080,-2.869,-2.563
0.598,0.257,0.744,11.414,-1.465,-1.892

-0.706,0.669,1.517,-54.199,-294.800,79.651
-0.629,0.774,1.552,-50.842,-273.865,81.665
-0.560,0.962,1.538,-60.120,-252.686,81.238
-0.509,1.197,1.573,-72.083,-234.314,78.552
-0.489,1.435,1.675,-81.787,-218.750,68.909
-0.463,1.645,1.868,-89.172,-202.393,48.462
-0.441,1.747,2.089,-93.384,-182.739,18.677
-0.416,1.773,2.289,-97.961,-158.508,-14.832
-0.436,1.709,2.438,-98.328,-129.150,-49.255
-0.459,1.565,2.531,-94.177,-96.252,-80.017
-0.478,1.385,2.622,-84.473,-61.951,-105.469
-0.490,1.227,2.772,-72.510,-27.832,-123.474
-0.529,1.106,2.977,-59.937,6.653,-136.780
-0.570,1.005,3.154,-44.495,49.316,-149.719
-0.609,0.912,3.273,-22.400,98.145,-160.522
-0.671,0.894,3.294,0.793,149.353,-169.861
-0.785,0.908,3.160,28.381,203.796,-178.284
-0.950,0.905,2.870,59.692,257.019,-186.584
-1.139,0.909,2.507,82.153,304.504,-195.862
-1.302,0.822,2.057,90.332,343.262,-204.895
-1.414,0.694,1.606,82.886,372.314,-213.257
-1.415,0.570,1.158,55.298,389.587,-217.651
-1.305,0.439,0.748,28.503,393.066,-217.896
-1.097,0.260,0.434,8.484,381.104,-213.440
-0.842,0.081,0.279,-3.113,355.652,-206.787
-0.646,-0.056,0.291,-5.310,323.853,-198.303
-0.512,-0.138,0.396,3.052,294.067,-186.035
-0.428,-0.094,0.445,19.653,273.621,-169.983
-0.393,-0.016,0.310,46.387,263.184,-153.137
-0.326,-0.037,0.046,77.698,258.362,-140.076
-0.255,-0.065,-0.211,95.093,250.000,-133.728
-0.236,-0.132,-0.381,87.769,236.267,-130.737
-0.211,-0.280,-0.501,65.491,218.323,-127.014
-0.125,-0.487,-0.591,37.903,198.303,-118.225
-0.032,-0.648,-0.658,12.024,175.354,-100.952
0.127,-0.674,-0.693,-5.066,150.391,-76.660
0.253,-0.619,-0.705,-4.272,122.742,-49.438
0.313,-0.488,-0.664,7.446,91.675,-22.400
0.340,-0.276,-0.544,15.198,60.364,-0.061
0.368,-0.062,-0.403,18.738,34.790,13.855
0.420,0.075,-0.244,20.081,16.724,18.372
0.483,0.175,-0.079,22.827,3.235,15.808
0.510,0.229,0.056,30.701,-6.348,11.230
0.555,0.210,0.170,40.344,-12.512,7.935
0.610,0.202,0.334,39.246,-15.381,6.348
0.627,0.257,0.510,29.297,-14.526,6.531
0.627,0.300,0.645,21.118,-7.935,9.521
0.634,0.360,0.737,12.329,2.197,12.024
0.627,0.419,0.770,1.404,15.015,10.864
0.637,0.439,0.722,-3.662,27.832,6.531
0.643,0.422,0.626,-5.615,38.025,1.038
0.630,0.380,0.511,-8.972,44.250,-3.601
0.632,0.356,0.391,-11.841,46.265,-6.714
0.678,0.325,0.260,-9.949,43.762,-7.507
