aX,aY,aZ,gX,gY,gZ
-2.275,-2.115,1.625,14.099,-109.497,-529.846
-1.979,-2.342,1.502,-1.404,-83.313,-463.501
-1.678,-2.378,1.359,-27.466,-65.063,-384.033
-1.446,-2.249,1.283,-62.805,-57.739,-303.040
-1.271,-2.051,1.349,-93.628,-60.120,-228.821
-1.142,-1.749,1.505,-111.755,-65.735,-164.795
-1.017,-1.396,1.641,-110.657,-66.589,-111.572
-0.911,-1.035,1.689,-92.834,-58.899,-70.374
-0.701,-0.553,1.627,-71.655,-44.189,-41.504
-0.724,-0.452,1.449,-46.326,-27.100,-24.963
-0.576,0.309,1.669,-49.866,-8.057,-23.987
-0.498,-0.164,1.201,14.404,-1.709,-26.428
-0.427,-0.178,1.131,20.630,-6.042,-36.194
-0.282,-0.173,1.131,4.761,-11.963,-48.706
-0.203,-0.311,1.091,11.963,-16.479,-50.415
-0.098,-0.350,1.047,15.564,-15.991,-43.030
-0.029,-0.338,0.967,19.348,-14.099,-28.992
0.009,-0.276,0.893,20.813,-13.123,-12.451
0.026,-0.131,0.885,10.071,-12.146,0.854
0.046,0.022,0.914,-4.700,-10.803,11.230
0.073,0.126,0.940,-10.071,-10.803,19.348
0.088,0.217,0.994,-11.841,-12.024,23.071
0.098,0.252,1.027,-9.460,-12.085,23.193
0.114,0.262,1.048,-7.507,-10.437,22.583
0.135,0.328,1.055,-8.423,-7.141,22.583
0.148,0.364,0.995,-2.502,-3.845,23.865
0.194,0.429,0.953,1.465,-2.380,24.414
0.244,0.519,0.932,2.136,-3.906,21.484
0.260,0.526,0.937,3.662,-7.385,16.174
0.257,0.536,0.983,3.662,-10.498,10.559
0.268,0.542,1.026,5.737,-10.315,5.981
0.251,0.558,1.051,9.949,-7.263,2.014
0.223,0.540,1.035,15.320,-2.869,-2.197
0.212,0.492,1.003,15.747,2.197,-7.751
0.224,0.437,0.990,10.071,6.775,-13.550
0.208,0.388,0.988,4.700,10.315,-17.090
0.182,0.302,0.976,4.639,12.878,-17.822
0.175,0.222,0.953,4.333,15.320,-16.785
0.174,0.153,0.915,3.723,17.517,-13.489
0.180,0.119,0.884,1.465,18.494,-7.996
0.190,0.129,0.843,-2.075,18.127,-0.732
0.208,0.170,0.804,-5.432,16.357,8.606
0.233,0.256,0.776,-8.728,12.939,17.944
0.260,0.377,0.776,-10.559,6.958,24.780
0.276,0.501,0.812,-7.385,-0.061,27.588
0.261,0.579,0.851,-1.282,-5.188,26.367
0.250,0.647,0.903,1.953,-7.996,20.203
0.239,0.643,0.946,5.493,-8.667,11.353
0.243,0.606,0.984,9.521,-7.263,1.709
0.229,0.532,1.006,13.428,-4.517,-7.080
0.223,0.437,1.003,16.479,-0.305,-14.099
